,DWS,Exp,Height,OWS,Player,Pos,Salary,Team,WS,WS_Per_48,Year
0,2.8,3,6-4,3.9,Danny Ainge,SG,400000,BOS,6.699999999999999,0.124,1985
1,5.2,5,6-9,10.5,Larry Bird,SF,1800000,BOS,15.7,0.238,1985
2,1.2,8,6-3,0.0,Quinn Buckner,PG,239000,BOS,1.2,0.027,1985
3,0.5,9,6-6,0.0,M.L. Carr,SF,175000,BOS,0.5,0.05,1985
4,0.7,1,6-4,0.0,Carlos Clark,SG,65000,BOS,0.7,0.044,1985
5,2.8,8,6-4,3.5,Dennis Johnson,PG,405000,BOS,6.3,0.103,1985
6,0.4,1,6-11,0.0,Greg Kite,C,120000,BOS,0.4,0.006,1985
7,1.4,7,6-8,3.2,Cedric Maxwell,SF,830000,BOS,4.6,0.147,1985
8,3.4,4,6-10,7.6,Kevin McHale,PF,1000000,BOS,11.0,0.199,1985
9,4.0,8,7-0,5.0,Robert Parish,C,700000,BOS,9.0,0.151,1985
10,1.0,10,6-7,1.2,Scott Wedman,SF,400000,BOS,2.2,0.093,1985
0,3.3,R,6-6,4.2,Charles Barkley,PF,307000,PHI,7.5,0.154,1985
1,2.8,6,6-1,6.2,Maurice Cheeks,PG,350000,PHI,9.0,0.165,1985
2,3.1,13,6-7,4.5,Julius Erving,SF,1054000,PHI,7.6,0.144,1985
3,0.1,2,6-8,0.1,Marc Iavaroni,PF,100000,PHI,0.2,0.124,1985
4,0.9,6,6-10,0.8,Clemon Johnson,C,406000,PHI,1.7000000000000002,0.095,1985
5,2.0,10,6-9,2.8,Bobby Jones,PF,500000,PHI,4.8,0.142,1985
6,4.0,10,6-10,7.9,Moses Malone,C,2125000,PHI,11.9,0.193,1985
7,0.9,5,6-3,0.9,Clint Richardson,SG,170000,PHI,1.8,0.058,1985
8,1.4,1,6-2,0.8,Sedale Threatt,PG,78000,PHI,2.2,0.047,1985
9,1.5,4,6-3,4.0,Andrew Toney,SG,310000,PHI,5.5,0.118,1985
10,0.2,R,6-3,0.1,Leon Wood,PG,215000,PHI,0.30000000000000004,0.124,1985
0,1.4,7,6-3,2.8,Otis Birdsong,SG,1075000,NJN,4.199999999999999,0.109,1985
1,1.2,4,6-3,0.3,Darwin Cook,PG,255000,NJN,1.5,0.071,1985
2,0.9,9,6-11,1.2,Darryl Dawkins,C,768000,NJN,2.1,0.104,1985
3,2.5,4,6-11,3.6,Mike Gminski,C,350000,NJN,6.1,0.122,1985
4,0.9,3,6-6,1.0,Albert King,SF,275000,NJN,1.9,0.106,1985
5,0.5,2,6-5,0.4,Kevin McKenna,SG,85000,NJN,0.9,0.082,1985
6,1.0,4,6-7,0.9,Mike O'Koren,SF,244000,NJN,1.9,0.081,1985
7,4.2,6,6-5,4.5,Micheal Ray Richardson,PG,427000,NJN,8.7,0.134,1985
8,4.0,3,6-8,3.7,Buck Williams,PF,513000,NJN,7.7,0.116,1985
0,3.9,7,6-7,2.1,Greg Ballard,SF,350000,WSB,6.0,0.109,1985
1,2.1,1,6-8,1.8,Darren Daye,SF,95000,WSB,3.9000000000000004,0.117,1985
2,1.1,3,6-1,0.9,Frank Johnson,PG,232000,WSB,2.0,0.101,1985
3,3.9,4,6-10,1.8,Rick Mahorn,PF,361000,WSB,5.7,0.083,1985
4,2.3,1,6-4,3.4,Jeff Malone,SG,211000,WSB,5.699999999999999,0.105,1985
5,3.2,5,6-9,1.8,Cliff Robinson,PF,450000,WSB,5.0,0.075,1985
6,2.2,3,6-10,1.1,Jeff Ruland,C,326000,WSB,3.3000000000000003,0.111,1985
7,3.9,8,6-2,1.2,Gus Williams,PG,730000,WSB,5.1,0.083,1985
0,0.8,4,6-5,0.1,Butch Carter,SG,160000,NYK,0.9,0.032,1985
1,2.0,5,6-9,1.3,Pat Cummings,C,800000,NYK,3.3,0.077,1985
2,0.9,7,6-6,1.5,Ernie Grunfeld,SF,250000,NYK,2.4,0.111,1985
3,1.5,7,6-7,5.7,Bernard King,SF,874000,NYK,7.2,0.166,1985
4,1.9,4,6-8,2.9,Louis Orr,PF,325000,NYK,4.8,0.093,1985
5,0.0,10,6-7,0.0,Truck Robinson,PF,540000,NYK,0.0,0.0,1985
6,1.2,4,6-2,3.1,Rory Sparrow,PG,500000,NYK,4.3,0.091,1985
7,1.2,2,6-5,2.1,Trent Tucker,SG,273000,NYK,3.3,0.086,1985
8,2.3,1,6-4,0.5,Darrell Walker,PG,230000,NYK,2.8,0.054,1985
0,1.9,1,7-3,1.1,Randy Breuer,C,167000,MIL,3.0,0.133,1985
1,5.1,2,6-9,5.6,Terry Cummings,PF,410000,MIL,10.7,0.189,1985
2,1.3,9,6-5,0.9,Kevin Grevey,SF,383000,MIL,2.2,0.086,1985
3,2.9,2,6-2,3.2,Craig Hodges,SG,100000,MIL,6.1,0.115,1985
4,4.3,3,7-0,1.0,Alton Lister,C,150000,MIL,5.3,0.121,1985
5,2.6,5,7-0,0.7,Paul Mokeski,C,345000,MIL,3.3,0.102,1985
6,3.9,5,6-3,7.3,Sidney Moncrief,PG,884000,MIL,11.2,0.197,1985
7,1.2,2,6-4,1.8,Ricky Pierce,SG,140000,MIL,3.0,0.162,1985
8,4.4,2,6-5,5.2,Paul Pressey,SF,152000,MIL,9.600000000000001,0.16,1985
9,0.0,1,6-10,0.0,Mark West,C,120000,MIL,0.0,0.217,1985
0,1.9,7,6-10,1.5,Kent Benson,C,270000,DET,3.4,0.113,1985
1,0.6,R,6-7,0.6,Tony Campbell,SF,110000,DET,1.2,0.031,1985
2,2.0,4,6-9,0.0,Earl Cureton,C,200000,DET,2.0,0.06,1985
3,1.7,5,6-2,2.5,Vinnie Johnson,SG,625000,DET,4.2,0.097,1985
4,0.5,5,6-9,0.2,Major Jones,PF,65000,DET,0.7,0.081,1985
5,4.1,4,6-11,5.6,Bill Laimbeer,C,500000,DET,9.7,0.162,1985
6,1.6,6,6-5,1.8,John Long,SG,330000,DET,3.4000000000000004,0.087,1985
7,1.8,9,6-8,0.9,Dan Roundfield,PF,674000,DET,2.7,0.087,1985
8,0.4,2,6-5,0.6,Brook Steppe,SG,100000,DET,1.0,0.097,1985
9,3.6,3,6-1,7.5,Isiah Thomas,PG,750000,DET,11.1,0.173,1985
10,1.4,3,6-6,2.8,Kelly Tripucka,SF,700000,DET,4.199999999999999,0.121,1985
11,2.3,6,6-7,2.2,Terry Tyler,SF,225000,DET,4.5,0.108,1985
0,1.6,6,6-11,1.3,Dave Corzine,C,660000,CHI,2.9000000000000004,0.067,1985
1,1.2,2,6-3,1.4,Quintin Dailey,SG,410000,CHI,2.5999999999999996,0.059,1985
2,0.8,1,6-9,0.0,Sidney Green,PF,275000,CHI,0.8,0.039,1985
3,1.4,5,6-9,0.6,Dave Greenwood,PF,550000,CHI,2.0,0.065,1985
4,0.5,2,6-7,0.4,Rod Higgins,SF,160000,CHI,0.9,0.049,1985
5,1.7,3,6-10,1.4,Steve Johnson,C,369000,CHI,3.0999999999999996,0.09,1985
6,0.8,11,6-11,0.1,Caldwell Jones,C,500000,CHI,0.9,0.048,1985
7,3.7,R,6-6,10.3,Michael Jordan,SG,550000,CHI,14.0,0.213,1985
8,0.9,1,6-3,0.4,Ennis Whatley,PG,200000,CHI,1.3,0.029,1985
9,1.6,3,6-9,7.4,Orlando Woolridge,SF,300000,CHI,9.0,0.153,1985
0,2.3,2,6-0,2.3,John Bagley,PG,209000,CLE,4.6,0.092,1985
1,0.3,5,6-10,0.2,Jeff Cook,PF,142000,CLE,0.5,0.056,1985
2,0.8,8,6-2,2.3,Johnny Davis,PG,475000,CLE,3.0999999999999996,0.076,1985
3,1.4,9,6-2,4.5,World B. Free,SG,675000,CLE,5.9,0.127,1985
4,3.0,1,6-9,2.0,Roy Hinson,PF,150000,CLE,5.0,0.103,1985
5,2.0,5,6-8,3.7,Phil Hubbard,SF,200000,CLE,5.7,0.121,1985
6,2.1,7,6-9,1.4,Ben Poquette,PF,284000,CLE,3.5,0.102,1985
7,1.3,8,6-8,0.1,Lonnie Shelton,PF,395000,CLE,1.4000000000000001,0.036,1985
8,0.9,1,6-6,0.0,Paul Thompson,SF,90000,CLE,0.9,0.047,1985
9,2.0,R,6-11,1.1,Melvin Turpin,C,260000,CLE,3.1,0.075,1985
0,1.0,4,6-10,0.1,Rickey Brown,C,160000,ATL,1.1,0.024,1985
1,0.9,2,6-10,0.4,Scott Hastings,PF,160000,ATL,1.3,0.075,1985
2,1.4,7,6-2,2.8,Eddie Johnson,SG,491000,ATL,4.199999999999999,0.084,1985
3,2.8,2,6-8,2.0,Cliff Levingston,PF,200000,ATL,4.8,0.113,1985
4,3.0,1,6-4,3.4,Doc Rivers,PG,105000,ATL,6.4,0.143,1985
5,2.7,7,7-1,1.1,Tree Rollins,C,678000,ATL,3.8000000000000003,0.105,1985
6,3.5,2,6-7,4.1,Dominique Wilkins,SF,460000,ATL,7.6,0.121,1985
7,1.0,5,6-7,0.4,Sly Williams,SF,450000,ATL,1.4,0.03,1985
8,0.7,1,6-6,0.9,Randy Wittman,SG,170000,ATL,1.6,0.065,1985
0,1.2,2,6-9,0.3,Bill Garnett,PF,269000,IND,1.5,0.063,1985
1,3.0,2,6-7,3.1,Clark Kellogg,PF,406000,IND,6.1,0.119,1985
2,1.0,4,6-1,2.5,Jerry Sichting,PG,135000,IND,3.5,0.094,1985
3,3.0,1,6-11,2.0,Steve Stipanovich,C,420000,IND,5.0,0.104,1985
4,1.7,1,6-3,1.8,Jim Thomas,SG,80000,IND,3.5,0.081,1985
5,0.9,1,6-11,0.0,Granville Waiters,C,100000,IND,0.9,0.015,1985
6,3.1,3,6-10,1.3,Herb Williams,C,200000,IND,4.4,0.041,1985
0,2.6,6,6-10,0.9,Wayne Cooper,C,280000,DEN,3.5,0.082,1985
1,2.1,8,6-7,6.8,Alex English,SF,790000,DEN,8.9,0.146,1985
2,1.0,5,6-1,1.9,Mike Evans,SG,60000,DEN,2.9,0.098,1985
3,1.7,14,6-9,2.7,Dan Issel,C,614000,DEN,4.4,0.124,1985
4,0.3,2,6-9,0.5,Joe Kopicki,PF,80000,DEN,0.8,0.135,1985
5,3.2,2,6-3,2.1,Fat Lever,PG,185000,DEN,5.300000000000001,0.098,1985
6,2.3,5,6-6,8.0,Calvin Natt,PF,708000,DEN,10.3,0.185,1985
7,0.7,3,6-11,0.6,Danny Schayes,C,225000,DEN,1.2999999999999998,0.109,1985
0,0.2,1,6-6,0.0,Craig Ehlo,SG,80000,HOU,0.2,0.057,1985
1,1.9,3,6-6,2.8,Lewis Lloyd,SG,150000,HOU,4.699999999999999,0.105,1985
2,3.3,1,6-7,5.3,Rodney McCray,SF,360000,HOU,8.6,0.137,1985
3,4.9,R,7-0,5.3,Hakeem Olajuwon,C,780000,HOU,10.2,0.168,1985
4,4.8,1,7-4,1.4,Ralph Sampson,PF,1300000,HOU,6.199999999999999,0.096,1985
5,1.8,1,6-4,1.7,Mitchell Wiggins,SG,130000,HOU,3.5,0.107,1985
0,1.9,3,6-6,5.3,Mark Aguirre,SF,800000,DAL,7.199999999999999,0.128,1985
1,1.4,3,6-6,5.8,Rolando Blackman,SG,215000,DAL,7.199999999999999,0.123,1985
2,1.0,1,7-0,0.3,Wallace Bryant,C,130000,DAL,1.3,0.073,1985
3,1.7,7,6-3,5.7,Brad Davis,PG,210000,DAL,7.4,0.14,1985
4,1.1,1,6-7,1.3,Dale Ellis,SF,200000,DAL,2.4000000000000004,0.088,1985
5,2.4,1,6-4,2.9,Derek Harper,PG,200000,DAL,5.3,0.116,1985
6,2.0,3,6-10,1.3,Kurt Nimphius,C,250000,DAL,3.3,0.079,1985
7,2.6,R,6-9,3.2,Sam Perkins,PF,500000,DAL,5.800000000000001,0.12,1985
8,2.6,3,6-7,4.0,Jay Vincent,PF,250000,DAL,6.6,0.123,1985
0,3.8,1,6-11,1.6,Thurl Bailey,PF,225000,UTA,5.4,0.104,1985
1,2.3,8,6-5,5.6,Adrian Dantley,SF,515000,UTA,7.8999999999999995,0.194,1985
2,0.7,10,6-6,0.0,John Drew,SF,250000,UTA,0.7,0.07,1985
3,6.7,2,7-4,1.6,Mark Eaton,C,133000,UTA,8.3,0.093,1985
4,3.2,6,6-0,3.5,Rickey Green,PG,255000,UTA,6.7,0.132,1985
5,3.8,4,6-4,1.6,Darrell Griffith,SG,363000,UTA,5.4,0.061,1985
6,0.8,1,6-6,0.0,Bob Hansen,SG,65000,UTA,0.8,0.049,1985
0,1.8,3,6-7,3.9,Gene Banks,SF,265000,SAS,5.7,0.13,1985
1,1.4,12,6-7,3.2,George Gervin,SG,831000,SAS,4.6,0.106,1985
2,3.3,13,7-2,7.1,Artis Gilmore,C,600000,SAS,10.399999999999999,0.183,1985
3,0.3,4,6-10,0.1,Edgar Jones,PF,205000,SAS,0.4,0.072,1985
4,0.1,2,6-11,0.1,Mark McNamara,C,165000,SAS,0.2,0.092,1985
5,1.6,6,6-7,4.4,Mike Mitchell,SF,790000,SAS,6.0,0.101,1985
6,3.5,4,6-1,3.7,Johnny Moore,PG,200000,SAS,7.2,0.128,1985
7,0.6,1,6-2,1.7,John Paxson,PG,102000,SAS,2.3,0.088,1985
8,0.2,1,6-10,0.0,Fred Roberts,PF,86000,SAS,0.2,0.043,1985
0,0.2,12,6-4,1.0,Don Buse,PG,130000,KCK,1.2,0.064,1985
1,0.7,4,6-1,2.9,Larry Drew,PG,700000,KCK,3.5999999999999996,0.073,1985
2,0.9,3,6-7,4.4,Eddie Johnson,SF,225000,KCK,5.300000000000001,0.083,1985
3,0.0,10,6-6,0.1,Billy Knight,SG,433000,KCK,0.1,0.021,1985
4,0.6,9,6-10,1.3,Joe Meriweather,C,225000,KCK,1.9,0.083,1985
5,1.3,9,6-8,2.8,Mark Olberding,PF,375000,KCK,4.1,0.085,1985
6,0.9,6,6-7,3.7,Reggie Theus,SG,435000,KCK,4.6000000000000005,0.086,1985
7,3.0,2,6-10,2.3,LaSalle Thompson,C,277000,KCK,5.3,0.103,1985
8,1.3,R,6-9,2.8,Otis Thorpe,PF,225000,KCK,4.1,0.1,1985
9,0.2,3,6-9,0.2,Pete Verhoeven,PF,100000,KCK,0.4,0.053,1985
10,1.2,4,6-5,3.0,Mike Woodson,SG,375000,KCK,4.2,0.101,1985
0,3.6,15,7-2,7.6,Kareem Abdul-Jabbar,C,1530000,LAL,11.2,0.204,1985
1,2.3,6,6-5,2.3,Michael Cooper,SG,325000,LAL,4.6,0.102,1985
2,3.2,5,6-9,9.5,Magic Johnson,PG,2500000,LAL,12.7,0.22,1985
3,0.9,7,6-9,0.5,Mitch Kupchak,PF,1150000,LAL,1.4,0.094,1985
4,0.3,4,6-2,0.0,Ronnie Lester,PG,244000,LAL,0.3,0.039,1985
5,1.5,12,6-9,1.4,Bob McAdoo,C,923000,LAL,2.9,0.11,1985
6,0.9,3,6-5,2.1,Mike McGee,SF,200000,LAL,3.0,0.122,1985
7,2.8,3,6-8,1.3,Kurt Rambis,PF,200000,LAL,4.1,0.12,1985
8,2.1,1,6-3,4.8,Byron Scott,SG,350000,LAL,6.9,0.143,1985
9,1.4,3,6-7,1.2,Larry Spriggs,PF,90000,LAL,2.5999999999999996,0.095,1985
10,0.5,10,6-6,0.3,Jamaal Wilkes,SF,860000,LAL,0.8,0.056,1985
11,2.9,2,6-9,4.6,James Worthy,SF,400000,LAL,7.5,0.134,1985
0,1.4,7,6-7,0.7,Kenny Carr,PF,465000,POR,2.0999999999999996,0.091,1985
1,3.5,1,6-7,4.0,Clyde Drexler,SG,175000,POR,7.5,0.141,1985
2,1.4,2,6-9,0.6,Audie Norris,C,110000,POR,2.0,0.083,1985
3,3.1,5,6-10,2.9,Mychal Thompson,PF,750000,POR,6.0,0.111,1985
4,2.4,3,6-1,2.6,Darnell Valentine,PG,210000,POR,5.0,0.106,1985
5,1.2,4,6-8,7.2,Kiki Vandeweghe,SF,755000,POR,8.4,0.161,1985
0,3.3,9,6-9,3.5,Alvan Adams,PF,500000,PHO,6.8,0.152,1985
1,0.4,7,6-6,0.2,Walter Davis,SG,670000,PHO,0.6000000000000001,0.05,1985
2,2.0,7,7-0,1.7,James Edwards,C,406000,PHO,3.7,0.099,1985
3,1.2,1,6-1,0.2,Rod Foster,PG,125000,PHO,1.4,0.034,1985
4,2.4,10,6-9,0.1,Maurice Lucas,PF,650000,PHO,2.5,0.072,1985
5,1.9,4,6-3,2.7,Kyle Macy,PG,305000,PHO,4.6,0.11,1985
6,3.2,3,6-10,4.7,Larry Nance,PF,400000,PHO,7.9,0.173,1985
7,1.0,2,6-8,0.2,Charles Pittman,SF,80000,PHO,1.2,0.044,1985
8,0.1,6,6-11,0.0,Rick Robey,C,425000,PHO,0.1,0.037,1985
9,0.6,2,6-6,0.3,Mike Sanders,SF,70000,PHO,0.8999999999999999,0.093,1985
10,1.2,7,6-7,0.2,Alvin Scott,SF,120000,PHO,1.4,0.045,1985
0,2.9,3,6-10,3.1,Tom Chambers,PF,374000,SEA,6.0,0.098,1985
1,0.7,5,6-6,0.1,Reggie King,SF,500000,SEA,0.7999999999999999,0.028,1985
2,3.7,7,6-11,4.6,Jack Sikma,C,1149000,SEA,8.3,0.166,1985
3,1.0,9,6-3,0.1,Ricky Sobers,SG,277000,SEA,1.1,0.002,1985
4,0.7,1,6-2,0.1,Jon Sundvold,PG,158000,SEA,0.7999999999999999,0.008,1985
5,2.4,3,6-7,2.3,Danny Vranes,SF,392000,SEA,4.699999999999999,0.039,1985
6,2.1,3,6-6,2.2,Al Wood,SG,450000,SEA,4.300000000000001,0.08,1985
0,0.9,9,6-5,2.2,Junior Bridgeman,SF,350000,LAC,3.1,0.074,1985
1,1.0,10,6-9,0.1,Harvey Catchings,C,262000,LAC,1.1,0.05,1985
2,2.5,4,7-2,2.5,James Donaldson,C,470000,LAC,5.0,0.101,1985
3,1.5,7,6-7,1.2,Marques Johnson,SF,900000,LAC,2.7,0.053,1985
4,1.2,7,6-2,2.5,Norm Nixon,PG,408000,LAC,3.7,0.061,1985
5,1.7,2,6-6,6.3,Derek Smith,SG,400000,LAC,8.0,0.139,1985
6,2.7,7,6-11,0.6,Bill Walton,C,1350000,LAC,3.3000000000000003,0.097,1985
7,0.4,2,6-5,0.2,Bryan Warrick,PG,110000,LAC,0.6000000000000001,0.035,1985
0,1.3,2,6-4,1.5,Lester Conner,PG,160000,GSW,2.8,0.06,1985
1,0.8,2,6-3,2.3,Sleepy Floyd,SG,200000,GSW,3.0999999999999996,0.052,1985
2,1.1,10,6-10,1.6,Mickey Johnson,PF,363000,GSW,2.7,0.083,1985
3,0.8,6,6-7,5.4,Purvis Short,SF,495000,GSW,6.2,0.097,1985
4,1.6,4,6-8,3.1,Larry Smith,PF,300000,GSW,4.7,0.09,1985
5,0.9,6,6-10,2.7,Jerome Whitehead,C,225000,GSW,3.6,0.069,1985
0,3.2,4,6-4,3.6,Danny Ainge,SG,550000,BOS,6.800000000000001,0.136,1986
1,6.2,6,6-9,9.6,Larry Bird,SF,1800000,BOS,15.8,0.244,1986
2,0.9,1,6-5,0.0,Rick Carlisle,SG,90000,BOS,0.9,0.056,1986
3,3.7,9,6-4,3.0,Dennis Johnson,PG,782500,BOS,6.7,0.118,1986
4,0.8,2,6-11,0.5,Greg Kite,C,150000,BOS,1.3,0.007,1986
5,3.8,5,6-10,7.2,Kevin McHale,PF,1000000,BOS,11.0,0.22,1986
6,4.8,9,7-0,4.4,Robert Parish,C,700000,BOS,9.2,0.171,1986
7,1.8,5,6-1,2.4,Jerry Sichting,PG,125000,BOS,4.2,0.126,1986
8,0.6,R,6-2,0.5,Sam Vincent,SG,87500,BOS,1.1,0.037,1986
9,3.4,8,6-11,1.6,Bill Walton,C,425000,BOS,5.0,0.157,1986
10,1.8,11,6-7,0.9,Scott Wedman,SF,400000,BOS,2.7,0.093,1986
11,0.1,6,6-7,2.7,Sly Williams,SF,450000,BOS,2.8000000000000003,0.263,1986
0,5.5,1,6-6,5.4,Charles Barkley,PF,437500,PHI,10.9,0.176,1986
1,1.1,R,6-8,0.6,Terry Catledge,PF,150000,PHI,1.7000000000000002,0.074,1986
2,3.4,7,6-1,7.2,Maurice Cheeks,PG,395000,PHI,10.6,0.155,1986
3,2.6,14,6-7,3.3,Julius Erving,SF,1485000,PHI,5.9,0.114,1986
4,1.2,7,6-10,0.7,Clemon Johnson,C,412000,PHI,1.9,0.088,1986
5,1.4,11,6-9,1.9,Bobby Jones,PF,500000,PHI,3.3,0.102,1986
6,3.4,11,6-10,5.5,Moses Malone,C,2145000,PHI,8.9,0.157,1986
7,0.4,R,6-10,0.1,Greg Stokes,PF,70000,PHI,0.5,0.068,1986
8,0.4,2,6-6,0.1,Paul Thompson,SF,85000,PHI,0.5,0.008,1986
9,1.6,2,6-2,0.5,Sedale Threatt,SG,113000,PHI,2.1,0.056,1986
10,0.0,5,6-3,0.0,Andrew Toney,SG,710000,PHI,0.0,0.15,1986
11,0.0,R,6-8,0.0,Voise Winters,SF,70000,PHI,0.0,0.15,1986
12,0.3,1,6-3,1.0,Leon Wood,PG,253000,PHI,1.3,0.137,1986
0,4.2,R,7-7,0.6,Manute Bol,C,137500,WSB,4.8,0.089,1986
1,1.5,5,6-6,0.0,Dudley Bradley,SG,100000,WSB,1.5,0.057,1986
2,1.3,2,6-8,1.0,Darren Daye,SF,120000,WSB,2.3,0.105,1986
3,0.2,R,6-6,0.0,Kenny Green,SF,245633,WSB,0.2,0.02,1986
4,0.3,4,6-1,0.2,Frank Johnson,PG,255000,WSB,0.5,0.064,1986
5,2.6,2,6-9,0.6,Charles Jones,C,95000,WSB,3.2,0.096,1986
6,2.5,2,6-4,3.6,Jeff Malone,SG,231000,WSB,6.1,0.098,1986
7,0.7,10,6-11,0.6,Tom McMillen,C,215000,WSB,1.2999999999999998,0.069,1986
8,4.1,6,6-9,1.5,Cliff Robinson,SF,500000,WSB,5.6,0.104,1986
9,3.1,10,6-8,2.1,Dan Roundfield,PF,759250,WSB,5.2,0.106,1986
10,1.6,4,6-10,1.9,Jeff Ruland,PF,783000,WSB,3.5,0.151,1986
11,2.2,9,6-2,0.7,Gus Williams,PG,790000,WSB,2.9000000000000004,0.06,1986
0,1.8,8,6-3,1.4,Otis Birdsong,SG,1100000,NJN,3.2,0.064,1986
1,0.2,1,6-9,0.0,Bobby Cattage,PF,70000,NJN,0.2,0.025,1986
2,2.6,5,6-3,0.5,Darwin Cook,PG,275000,NJN,3.1,0.074,1986
3,1.3,10,6-11,3.1,Darryl Dawkins,C,808000,NJN,4.4,0.175,1986
4,2.9,5,6-11,6.3,Mike Gminski,C,700000,NJN,9.2,0.175,1986
5,1.9,11,6-10,0.9,Mickey Johnson,PF,200000,NJN,2.8,0.055,1986
6,1.9,4,6-6,0.0,Albert King,SF,1035000,NJN,1.9,0.045,1986
7,0.9,5,6-7,0.4,Mike O'Koren,SF,400000,NJN,1.3,0.057,1986
8,1.1,5,6-1,0.9,Kelvin Ransey,PG,317500,NJN,2.0,0.063,1986
9,2.3,7,6-5,1.0,Micheal Ray Richardson,PG,750000,NJN,3.3,0.099,1986
10,0.7,1,6-9,0.1,Jeff Turner,PF,200000,NJN,0.7999999999999999,0.057,1986
11,4.0,4,6-8,2.8,Buck Williams,PF,915000,NJN,6.8,0.106,1986
0,2.0,6,6-9,0.0,James Bailey,PF,500000,NYK,2.0,0.075,1986
1,2.0,1,6-9,1.0,Ken Bannister,PF,105000,NYK,3.0,0.025,1986
2,0.1,5,7-1,0.0,Bill Cartwright,C,925000,NYK,0.1,0.0,1986
3,0.6,R,6-3,0.1,Fred Cofield,PG,70000,NYK,0.7,0.184,1986
4,1.5,6,6-9,0.0,Pat Cummings,C,612500,NYK,1.5,0.07,1986
5,3.1,R,7-0,0.0,Patrick Ewing,C,1250000,NYK,3.1,0.084,1986
6,1.6,8,6-6,1.0,Ernie Grunfeld,SF,275000,NYK,2.6,0.091,1986
7,2.3,5,6-8,1.5,Louis Orr,SF,425000,NYK,3.8,0.08,1986
8,2.2,5,6-2,1.5,Rory Sparrow,PG,500000,NYK,3.7,0.077,1986
9,1.6,R,6-10,0.0,Bob Thornton,PF,70000,NYK,1.6,0.034,1986
10,1.7,3,6-5,2.3,Trent Tucker,SG,300000,NYK,4.0,0.107,1986
11,3.0,2,6-4,2.3,Darrell Walker,PG,265000,NYK,5.3,0.05,1986
12,1.9,R,6-6,2.3,Gerald Wilkins,SG,70000,NYK,4.199999999999999,0.018,1986
0,3.3,2,7-3,1.2,Randy Breuer,C,182000,MIL,4.5,0.12,1986
1,4.9,3,6-9,2.5,Terry Cummings,PF,633000,MIL,7.4,0.133,1986
2,1.2,4,6-7,0.8,Charles Davis,SF,90000,MIL,2.0,0.114,1986
3,1.8,1,6-5,1.0,Kenny Fields,SF,145000,MIL,2.8,0.12,1986
4,2.0,3,6-2,3.3,Craig Hodges,SG,115000,MIL,5.3,0.147,1986
5,1.0,3,6-6,0.8,Jeff Lamp,SF,75000,MIL,1.8,0.124,1986
6,3.8,4,7-0,1.6,Alton Lister,C,300000,MIL,5.4,0.144,1986
7,0.8,6,7-0,0.1,Paul Mokeski,C,370000,MIL,0.9,0.079,1986
8,3.4,6,6-3,8.3,Sidney Moncrief,PG,884000,MIL,11.700000000000001,0.219,1986
9,2.6,3,6-4,5.7,Ricky Pierce,SG,150000,MIL,8.3,0.186,1986
10,4.7,3,6-5,5.1,Paul Pressey,SF,242000,MIL,9.8,0.174,1986
11,1.0,R,6-8,0.0,Jerry Reynolds,SF,175332,MIL,1.0,0.096,1986
0,0.6,R,6-2,0.4,John Battle,SG,70000,ATL,1.0,0.074,1986
1,0.4,1,6-9,0.3,Antoine Carr,PF,335000,ATL,0.7,0.127,1986
2,0.2,R,6-7,0.3,Lorenzo Charles,SF,70000,ATL,0.5,0.086,1986
3,0.7,3,6-10,0.2,Scott Hastings,PF,180000,ATL,0.8999999999999999,0.063,1986
4,0.5,8,6-2,0.8,Eddie Johnson,SG,275000,ATL,1.3,0.071,1986
5,2.4,R,7-0,1.4,Jon Koncak,C,475250,ATL,3.8,0.106,1986
6,2.9,3,6-8,2.6,Cliff Levingston,PF,200000,ATL,5.5,0.136,1986
7,2.2,2,6-4,1.9,Doc Rivers,PG,170000,ATL,4.1,0.128,1986
8,3.0,8,7-1,0.5,Tree Rollins,C,743000,ATL,3.5,0.093,1986
9,1.6,R,5-6,1.9,Spud Webb,PG,70000,ATL,3.5,0.137,1986
10,3.9,3,6-7,7.0,Dominique Wilkins,SF,585000,ATL,10.9,0.17,1986
11,3.3,1,7-0,1.4,Kevin Willis,PF,298000,ATL,4.699999999999999,0.099,1986
12,2.0,2,6-6,3.9,Randy Wittman,SG,200000,ATL,5.9,0.103,1986
0,1.9,8,6-10,1.4,Kent Benson,C,315000,DET,3.3,0.116,1986
1,1.3,1,6-7,0.1,Tony Campbell,SF,155000,DET,1.4000000000000001,0.053,1986
2,2.1,5,6-9,0.5,Earl Cureton,PF,210000,DET,2.6,0.061,1986
3,1.0,R,6-3,2.2,Joe Dumars,SG,170000,DET,3.2,0.079,1986
4,0.2,1,6-10,0.0,Mike Gibson,PF,80000,DET,0.2,0.059,1986
5,1.4,6,6-2,3.4,Vinnie Johnson,SG,491666,DET,4.8,0.115,1986
6,3.8,5,6-11,5.4,Bill Laimbeer,C,630000,DET,9.2,0.153,1986
7,0.7,7,6-5,1.3,John Long,SG,350000,DET,2.0,0.08,1986
8,1.9,5,6-10,1.4,Rick Mahorn,PF,411000,DET,3.3,0.043,1986
9,0.2,2,7-5,0.0,Chuck Nevitt,C,70000,DET,0.2,0.091,1986
10,2.7,4,6-1,6.1,Isiah Thomas,PG,750000,DET,8.8,0.151,1986
11,1.9,4,6-6,5.6,Kelly Tripucka,SF,971000,DET,7.5,0.136,1986
